True News,Text,,,,,,,,,,,,,,,,
1,Our analyses clearly show that SARS-CoV-2 is not a laboratory construct or purposelly manipulated virus,,,,,,,,,,,,,,,,
2,"WHO is aware of concerns on the use of #ibuprofen for the treatment of fever for people with #COVID19. We are consulting with physicians treating the patients & are not aware of reports of any negative effects, beyond the usual ones that limit its use in certain populations.",,,,,,,,,,,,,,,,
3,U.S. House of Representatives Democratic leader Nancy Pelosi said on Thursday her party would not support a short-term funding bill being brought up for a vote later in the day because it did not include any key Democratic priorities.,,,,,,,,,,,,,,,,
4,Two Reuters journalists who have been detained in Myanmar for the past two weeks were remanded in custody for a further two weeks on Wednesday as a probe continues into allegations they breached the nation s Official Secrets Act,,,,,,,,,,,,,,,,
5,Vaccination remains a key strategy for avoiding COVID infection,,,,,,,,,,,,,,,,
6,"Pregnant people are at an increased risk for severe illness from COVID-19 when compared to those who aren’t pregnant, as well as for increased risk for preterm birth",,,,,,,,,,,,,,,,(Yale Medicine)
7,False information on #COVID19 is spreading & putting people in danger. Make sure to double-check everything you hear against trusted sources. For accurate information on #coronavirus find official advice from your country's public health authority & WHO ,,,,,,,,,,,,,,,,
8,Libya put 142 illegal migrants on a flight back to Guinea on Wednesday with the help of the U.N. migration agency,,,,,,,,,,,,,,,,
9,Brazil declares top Venezuelan diplomat persona non-grata,,,,,,,,,,,,,,,,
10,The United States on Thursday imposed sanctions on seven North Korean individuals and three entities for  flagrant  human rights abuses,,,,,,,,,,,,,,,,
11,Venezuela s democratic opposition was awarded the European Union s human rights award on Thursday and the European Parliament called for a peaceful transition to democracy in the troubled country,,,,,,,,,,,,,,,,
12, A federal judge in Seattle partially blocked U.S. President Donald Trumps newest restrictions on refugee admissions on Saturday,,,,,,,,,,,,,,,,
13,President Donald Trump said on Thursday he believes he will be fairly treated in a special counsel investigation into Russian meddling in the U.S. presidential election,,,,,,,,,,,,,,,,
14,"Switzerland will stop seizing income from some would-be asylum seekers to help pay for their upkeep, the government said on Wednesday, scrapping a rule that has drawn scrutiny by human rights groups",,,,,,,,,,,,,,,,
15,Financial advisers and accountants are working overtime as many U.S. taxpayers scramble to pay the rest of their 2017 taxes before Jan. 1 when the proposed Republican tax overhaul would sharply cut the amount they can deduct on federal tax bills.,,,,,,,,,,,,,,,,
16,Esteban Santiago Ruiz told the FBI that he carried out an attack on Fort Lauderdale on behalf of the Islamic State,,,,,,,,,,,,,,,,
17," The wife of British aristocrat Lord Lucan, who vanished without trace 43 years ago after the murder of his children s nanny, has been found dead",,,,,,,,,,,,,,,,
18,"An intruder forced his way into the offices of Russian radio station Ekho Moskvy and stabbed one of the station s anchors in the neck, the broadcaster said on its Internet site on Monday. The intruder, whose motivation was not immediately known, was detained by station security staff and handed over to police",,,,,,,,,,,,,,,,
19," Duane Oreskowic was speechless when he learned last week that his job would be one of 1,400 lost when his employer",,,,,,,,,,,,,,,,
20,A meeting between Mexican President Enrique Pena Nieto and U.S. President Donald Trump on Friday at the G20 summit in Germany will last about 30 minutes and probably not lead to any major agreements,,,,,,,,,,,,,,,,
